symbol,feature,horizon_ms,n,pearson,pearson_p,spearman,spearman_p,hit_rate,hit_rate_p,ols_beta,ols_p,ols_r2,ols_beta_ctrl,ols_p_ctrl,ols_r2_ctrl,net_cost_threshold,net_mean_bps,net_pct_positive,net_n,net_p
BTC,tob_imbalance,100,873,0.36306433582563885,1.3617509011686383e-28,0.46977300902244856,3.970069704431025e-49,0.802158273381295,3.685261455214846e-25,0.00004847507725505968,2.455801019744421e-25,0.13181571194851227,0.00004853914535573767,7.822891496994528e-25,0.13330174254355076,0.9575123063025031,-8.501658301817585,0.0,179,2.0786949261975924e-160
BTC,imbalance_d5,100,873,0.36669399464781843,3.563918835702695e-29,0.46555763557686025,3.607025009272665e-48,0.802158273381295,3.685261455214846e-25,0.0000536301645647507,2.6163006384035236e-24,0.1344644857107743,0.00005365862169072658,2.832339729704055e-24,0.13595079195396043,0.8987570915835196,-8.58574940631237,0.0,222,1.1722387675697225e-203
BTC,imbalance_d10,100,873,0.3620588672040349,1.9681048278078771e-28,0.44640854423118403,5.569201362922504e-44,0.7482014388489209,4.581529506433747e-17,0.00006409001655340734,4.710965749834729e-22,0.13108662332106868,0.00006414641894481817,5.30554103335329e-22,0.13222685482684193,0.8268398367171379,-8.704928314616232,0.0,255,8.988263769455754e-245
BTC,imbalance_d20,100,873,0.3458164379127703,6.307950569980124e-26,0.41473446215148546,1.29663435125399e-37,0.5863309352517986,0.004730989962632682,0.00010072726203624909,9.402197167129523e-17,0.1195890087306769,0.00010163535439833347,6.84121705484042e-17,0.12084983312115283,0.7124167291014495,-8.812425311132493,0.0,328,0.0
BTC,ofi,100,873,0.2742835209704324,1.567063765931463e-16,0.34480725008750657,8.928983101771804e-26,0.737410071942446,1.1209209853600889e-15,1.4776375460387135e-6,3.9035850890411316e-14,0.07523144987593744,1.4779358387922302e-6,1.2926334731756486e-13,0.07691706280482113,23.155275,-8.636263852770561,0.0,121,7.529869456104972e-120
BTC,tob_imbalance,500,873,0.36306433582563885,1.3617509011686383e-28,0.46977300902244856,3.970069704431025e-49,0.802158273381295,3.685261455214846e-25,0.00004847507725505968,2.455801019744421e-25,0.13181571194851227,0.00004853914535573767,7.822891496994528e-25,0.13330174254355076,0.9575123063025031,-8.501658301817585,0.0,179,2.0786949261975924e-160
BTC,imbalance_d5,500,873,0.36669399464781843,3.563918835702695e-29,0.46555763557686025,3.607025009272665e-48,0.802158273381295,3.685261455214846e-25,0.0000536301645647507,2.6163006384035236e-24,0.1344644857107743,0.00005365862169072658,2.832339729704055e-24,0.13595079195396043,0.8987570915835196,-8.58574940631237,0.0,222,1.1722387675697225e-203
BTC,imbalance_d10,500,873,0.3620588672040349,1.9681048278078771e-28,0.44640854423118403,5.569201362922504e-44,0.7482014388489209,4.581529506433747e-17,0.00006409001655340734,4.710965749834729e-22,0.13108662332106868,0.00006414641894481817,5.30554103335329e-22,0.13222685482684193,0.8268398367171379,-8.704928314616232,0.0,255,8.988263769455754e-245
BTC,imbalance_d20,500,873,0.3458164379127703,6.307950569980124e-26,0.41473446215148546,1.29663435125399e-37,0.5863309352517986,0.004730989962632682,0.00010072726203624909,9.402197167129523e-17,0.1195890087306769,0.00010163535439833347,6.84121705484042e-17,0.12084983312115283,0.7124167291014495,-8.812425311132493,0.0,328,0.0
BTC,ofi,500,873,0.2742835209704324,1.567063765931463e-16,0.34480725008750657,8.928983101771804e-26,0.737410071942446,1.1209209853600889e-15,1.4776375460387135e-6,3.9035850890411316e-14,0.07523144987593744,1.4779358387922302e-6,1.2926334731756486e-13,0.07691706280482113,23.155275,-8.636263852770561,0.0,121,7.529869456104972e-120
BTC,tob_imbalance,1000,873,0.36306433582563885,1.3617509011686383e-28,0.46977300902244856,3.970069704431025e-49,0.802158273381295,3.685261455214846e-25,0.00004847507725505968,2.455801019744421e-25,0.13181571194851227,0.00004853914535573767,7.822891496994528e-25,0.13330174254355076,0.9575123063025031,-8.501658301817585,0.0,179,2.0786949261975924e-160
BTC,imbalance_d5,1000,873,0.36669399464781843,3.563918835702695e-29,0.46555763557686025,3.607025009272665e-48,0.802158273381295,3.685261455214846e-25,0.0000536301645647507,2.6163006384035236e-24,0.1344644857107743,0.00005365862169072658,2.832339729704055e-24,0.13595079195396043,0.8987570915835196,-8.58574940631237,0.0,222,1.1722387675697225e-203
BTC,imbalance_d10,1000,873,0.3620588672040349,1.9681048278078771e-28,0.44640854423118403,5.569201362922504e-44,0.7482014388489209,4.581529506433747e-17,0.00006409001655340734,4.710965749834729e-22,0.13108662332106868,0.00006414641894481817,5.30554103335329e-22,0.13222685482684193,0.8268398367171379,-8.704928314616232,0.0,255,8.988263769455754e-245
BTC,imbalance_d20,1000,873,0.3458164379127703,6.307950569980124e-26,0.41473446215148546,1.29663435125399e-37,0.5863309352517986,0.004730989962632682,0.00010072726203624909,9.402197167129523e-17,0.1195890087306769,0.00010163535439833347,6.84121705484042e-17,0.12084983312115283,0.7124167291014495,-8.812425311132493,0.0,328,0.0
BTC,ofi,1000,873,0.2742835209704324,1.567063765931463e-16,0.34480725008750657,8.928983101771804e-26,0.737410071942446,1.1209209853600889e-15,1.4776375460387135e-6,3.9035850890411316e-14,0.07523144987593744,1.4779358387922302e-6,1.2926334731756486e-13,0.07691706280482113,23.155275,-8.636263852770561,0.0,121,7.529869456104972e-120
BTC,tob_imbalance,5000,873,0.36306433582563885,1.3617509011686383e-28,0.46977300902244856,3.970069704431025e-49,0.802158273381295,3.685261455214846e-25,0.00004847507725505968,2.455801019744421e-25,0.13181571194851227,0.00004853914535573767,7.822891496994528e-25,0.13330174254355076,0.9575123063025031,-8.501658301817585,0.0,179,2.0786949261975924e-160
BTC,imbalance_d5,5000,873,0.36669399464781843,3.563918835702695e-29,0.46555763557686025,3.607025009272665e-48,0.802158273381295,3.685261455214846e-25,0.0000536301645647507,2.6163006384035236e-24,0.1344644857107743,0.00005365862169072658,2.832339729704055e-24,0.13595079195396043,0.8987570915835196,-8.58574940631237,0.0,222,1.1722387675697225e-203
BTC,imbalance_d10,5000,873,0.3620588672040349,1.9681048278078771e-28,0.44640854423118403,5.569201362922504e-44,0.7482014388489209,4.581529506433747e-17,0.00006409001655340734,4.710965749834729e-22,0.13108662332106868,0.00006414641894481817,5.30554103335329e-22,0.13222685482684193,0.8268398367171379,-8.704928314616232,0.0,255,8.988263769455754e-245
BTC,imbalance_d20,5000,873,0.3458164379127703,6.307950569980124e-26,0.41473446215148546,1.29663435125399e-37,0.5863309352517986,0.004730989962632682,0.00010072726203624909,9.402197167129523e-17,0.1195890087306769,0.00010163535439833347,6.84121705484042e-17,0.12084983312115283,0.7124167291014495,-8.812425311132493,0.0,328,0.0
BTC,ofi,5000,873,0.2742835209704324,1.567063765931463e-16,0.34480725008750657,8.928983101771804e-26,0.737410071942446,1.1209209853600889e-15,1.4776375460387135e-6,3.9035850890411316e-14,0.07523144987593744,1.4779358387922302e-6,1.2926334731756486e-13,0.07691706280482113,23.155275,-8.636263852770561,0.0,121,7.529869456104972e-120
BTC,tob_imbalance,10000,872,0.3358203195625703,1.9803596986641793e-24,0.40941468278073584,1.4364096574449817e-36,0.7289719626168224,7.96340263228165e-22,0.00006649609063097094,6.252402591285195e-20,0.11277528703110662,0.00006651003420186031,2.7500679332183616e-19,0.11377638698875558,0.9575123063025031,-8.388462076408734,0.0,178,1.4353412842315925e-144
BTC,imbalance_d5,10000,872,0.3421348734496718,2.3716233166561606e-25,0.41135597099793897,6.212622772162409e-37,0.7266355140186916,2.138227014674013e-21,0.00007419566866345767,8.425407645193388e-20,0.11705627163042276,0.00007424381069336159,1.0932304122496532e-19,0.11833081152845071,0.8987570915835196,-8.40248679133067,0.0,221,1.7413774500365586e-176
BTC,imbalance_d10,10000,872,0.3338151391119821,3.8458255301295494e-24,0.3977138827220784,2.000164323559941e-34,0.677570093457944,1.6225039380721404e-13,0.00008760061389954086,1.2175500972191738e-18,0.11143254710035178,0.00008769225187051781,2.6314275766108517e-18,0.11245155615821711,0.8268398367171379,-8.524856458036846,0.0,254,3.9625406977499435e-215
BTC,imbalance_d20,10000,872,0.30657498791607984,1.9681820315907294e-20,0.36860767174804404,1.8790017840397265e-29,0.5514018691588785,0.03754102795135854,0.00013236095276653785,1.0306884635918394e-14,0.0939882232157443,0.00013358941573992866,2.8548001139106024e-14,0.09521799837297318,0.7124167291014495,-8.656471233986192,0.0,327,4.0380490386132944e-281
BTC,ofi,10000,872,0.2179635996249087,7.742094228790846e-11,0.27597281382166117,1.0464844749746893e-16,0.6635514018691588,1.2110459135283097e-11,1.740357233034296e-6,4.589407441189261e-12,0.04750813076144733,1.7332360483346006e-6,6.164813618230852e-11,0.04880310740515903,23.155275,-8.522070535187408,0.0,121,1.5323026332752102e-105
ETH,tob_imbalance,100,873,0.3162414724836168,9.958900073074936e-22,0.42962882331273994,1.5955467415303802e-40,0.7925170068027211,7.611604940080549e-25,0.000055963346494070516,1.5488862044034266e-19,0.10000866891860616,0.00005626046494555284,1.7985255345433077e-18,0.1005569355800523,0.8939554722082199,-8.890418141202636,0.0,179,1.4019889537161007e-154
ETH,imbalance_d5,100,873,0.27072490860153975,3.952242695536152e-16,0.3729518179571809,3.3927854741333585e-30,0.7244897959183674,7.590704868578979e-15,0.00005600496767523637,2.377254010453251e-13,0.07329197613731209,0.000057784575162864006,7.615791387668628e-14,0.07639505653799195,0.7272836395188385,-8.936974470598198,0.0,202,4.916411535595292e-179
ETH,imbalance_d10,100,873,0.24687190802112147,1.3764970221278314e-13,0.33287427116684937,4.940383187951447e-24,0.7278911564625851,2.84454727346667e-15,0.00007070433533353632,2.0177011347033362e-11,0.060945738969989116,0.00007410742312956108,3.6465443308977885e-12,0.06473318808910244,0.46570866500986596,-9.081730913094196,0.0,256,1.8093483699628738e-230
ETH,imbalance_d20,100,873,0.24763012597044892,1.1533405197655028e-13,0.3259412603713653,4.6964703424163356e-23,0.7312925170068028,1.0481044454102615e-15,0.00015116494336139602,8.712244971569877e-11,0.06132067928814022,0.00016163763245817729,3.31501086396958e-12,0.06667512868810477,0.19375367750077432,-9.04531063298053,0.0,257,1.2142356950054473e-232
ETH,ofi,100,873,0.28150597125285315,2.297960843974234e-17,0.328380953489387,2.1403431851803268e-23,0.7142857142857143,1.305072405899614e-13,8.420096479671549e-8,1.4067742287554183e-13,0.07924561185101198,8.444209035762262e-8,5.195508203954434e-13,0.07943604306731056,439.0927,-8.965606026317042,0.0,185,8.883471149961503e-163
ETH,tob_imbalance,500,873,0.3162414724836168,9.958900073074936e-22,0.42962882331273994,1.5955467415303802e-40,0.7925170068027211,7.611604940080549e-25,0.000055963346494070516,1.5488862044034266e-19,0.10000866891860616,0.00005626046494555284,1.7985255345433077e-18,0.1005569355800523,0.8939554722082199,-8.890418141202636,0.0,179,1.4019889537161007e-154
ETH,imbalance_d5,500,873,0.27072490860153975,3.952242695536152e-16,0.3729518179571809,3.3927854741333585e-30,0.7244897959183674,7.590704868578979e-15,0.00005600496767523637,2.377254010453251e-13,0.07329197613731209,0.000057784575162864006,7.615791387668628e-14,0.07639505653799195,0.7272836395188385,-8.936974470598198,0.0,202,4.916411535595292e-179
ETH,imbalance_d10,500,873,0.24687190802112147,1.3764970221278314e-13,0.33287427116684937,4.940383187951447e-24,0.7278911564625851,2.84454727346667e-15,0.00007070433533353632,2.0177011347033362e-11,0.060945738969989116,0.00007410742312956108,3.6465443308977885e-12,0.06473318808910244,0.46570866500986596,-9.081730913094196,0.0,256,1.8093483699628738e-230
ETH,imbalance_d20,500,873,0.24763012597044892,1.1533405197655028e-13,0.3259412603713653,4.6964703424163356e-23,0.7312925170068028,1.0481044454102615e-15,0.00015116494336139602,8.712244971569877e-11,0.06132067928814022,0.00016163763245817729,3.31501086396958e-12,0.06667512868810477,0.19375367750077432,-9.04531063298053,0.0,257,1.2142356950054473e-232
ETH,ofi,500,873,0.28150597125285315,2.297960843974234e-17,0.328380953489387,2.1403431851803268e-23,0.7142857142857143,1.305072405899614e-13,8.420096479671549e-8,1.4067742287554183e-13,0.07924561185101198,8.444209035762262e-8,5.195508203954434e-13,0.07943604306731056,439.0927,-8.965606026317042,0.0,185,8.883471149961503e-163
